PRMINFO,index,address,xnum,ynum,minimum,maximum,default,,unit,type,attrib,scaling
,238,CL:Current/CustomFaderBank/A/SourceCh,1,8,0,11,"NO,ASSIGN",,string,any,rw,1
,239,CL:Current/CustomFaderBank/B/CentraIn/SourceCh,3,8,0,11,"NO,ASSIGN",,string,any,rw,1
,240,CL:Current/CustomFaderBank/B/CentraOut/SourceCh,1,8,0,11,"NO,ASSIGN",,string,any,rw,1
,241,CL:Current/CustomFaderBank/Master/SourceCh,1,2,0,11,ST,,string,any,rw,1
,242,CL:Current/FaderBank/A/Recall,1,1,0,8,0,,integer,any,rw,1
,244,CL:Current/FaderBank/B/CentraIn/Recall,1,1,0,8,0,,integer,any,rw,1
,243,CL:Current/FaderBank/B/Centralogic/Select,1,1,0,1,0,,integer,any,rw,1
,245,CL:Current/FaderBank/B/CentraOut/Recall,1,1,0,8,0,,integer,any,rw,1
,132,MIXER:Current/Cue/ActiveCue,1,1,0,10,None,,string,any,r,1
,124,MIXER:Current/Cue/CueMode,1,1,0,8,"Mix,Cue",,string,any,rw,1
,137,MIXER:Current/Cue/DCA/On,16,1,0,1,0,,integer,any,rw,1
,129,MIXER:Current/Cue/DCA/Point,1,1,0,8,"Pre,Pan",,string,any,rw,1
,130,MIXER:Current/Cue/DCA/Unity,1,1,0,1,0,,integer,any,rw,1
,126,MIXER:Current/Cue/FaderCueRelease,1,1,0,1,0,,integer,any,rw,1
,230,MIXER:Current/Cue/InCh/On,48,1,0,1,0,,integer,any,rw,1
,127,MIXER:Current/Cue/InCh/Point,1,1,0,8,PFL,,string,any,rw,1
,231,MIXER:Current/Cue/Mix/On,24,1,0,1,0,,integer,any,rw,1
,135,MIXER:Current/Cue/Mtrx/On,8,1,0,1,0,,integer,any,rw,1
,128,MIXER:Current/Cue/OutCh/Point,1,1,0,3,PFL,,string,any,rw,1
,123,MIXER:Current/Cue/Output,1,1,0,1,0,,integer,any,rw,1
,131,MIXER:Current/Cue/OutputLevel,1,1,-32768,1000,0,,integer,any,rw,1
,136,MIXER:Current/Cue/St/On,3,1,0,1,0,,integer,any,rw,1
,133,MIXER:Current/Cue/StIn/On,16,1,0,1,0,,integer,any,rw,1
,134,MIXER:Current/Cue/StInCh/On,16,1,0,1,0,,integer,any,rw,1
,125,MIXER:Current/Cue/Surr/CueMode,1,1,0,8,"Mix,Cue",,string,any,rw,1
,233,MIXER:Current/DanteOutPort/Patch,64,1,0,12,MIX1,,string,any,rw,1
,4,MIXER:Current/DCA/Fader/Level,16,1,-32768,1000,0,,integer,any,rw,1
,9,MIXER:Current/DCA/Fader/On,16,1,0,1,0,,integer,any,rw,1
,75,MIXER:Current/DCA/Label/Color,16,1,0,7,Yellow,,string,any,rw,1
,69,MIXER:Current/DCA/Label/Name,16,1,0,8,"DCA,1",,string,any,rw,1
,141,MIXER:Current/DigitalOutPort/Patch,2,1,0,12,"ST,L",,string,any,rw,1
,213,MIXER:Current/InCh/DCA/Assign,48,16,0,1,0,,integer,any,rw,1
,208,MIXER:Current/InCh/Dyna1/Threshold,48,1,-720,0,-260,,integer,any,rw,1
,207,MIXER:Current/InCh/Dyna1/Type,48,1,0,10,Gate,,string,any,rw,1
,210,MIXER:Current/InCh/Dyna2/Threshold,48,1,-540,0,-80,,integer,any,rw,1
,209,MIXER:Current/InCh/Dyna2/Type,48,1,0,11,Compressor,,string,any,rw,1
,184,MIXER:Current/InCh/Fader/Level,48,1,-32768,1000,-32768,,integer,any,rw,1
,186,MIXER:Current/InCh/Fader/On,48,1,0,1,1,,integer,any,rw,1
,217,MIXER:Current/InCh/Label/Color,48,1,0,7,Blue,,string,any,rw,1
,246,MIXER:Current/InCh/Label/Icon,48,1,0,12,DynamicMic,,string,any,rw,1
,215,MIXER:Current/InCh/Label/Name,48,1,0,8,"ch,1",,string,any,rw,1
,188,MIXER:Current/InCh/PanMode,48,1,0,0,0,,integer,any,r,1
,232,MIXER:Current/InCh/Patch,48,1,0,8,DANTE1,,string,any,rw,1
,206,MIXER:Current/InCh/Port/HA/Gain,48,1,-600,6600,-600,,integer,any,rw,1
,190,MIXER:Current/InCh/Role,48,1,0,7,Mono,,string,any,r,1
,201,MIXER:Current/InCh/Surr/COn,48,1,0,1,1,,integer,any,rw,1
,198,MIXER:Current/InCh/Surr/Div,48,1,0,100,100,,integer,any,rw,1
,196,MIXER:Current/InCh/Surr/FRPan,48,1,-63,63,0,,integer,any,rw,1
,197,MIXER:Current/InCh/Surr/FRPanRev,48,1,-63,63,0,,integer,any,rw,1
,205,MIXER:Current/InCh/Surr/LFELevel,48,1,-32768,1000,-32768,,integer,any,rw,1
,202,MIXER:Current/InCh/Surr/LFEOn,48,1,0,1,1,,integer,any,rw,1
,199,MIXER:Current/InCh/Surr/LOn,48,1,0,1,1,,integer,any,rw,1
,195,MIXER:Current/InCh/Surr/LRPan,48,1,-63,63,0,,integer,any,rw,1
,203,MIXER:Current/InCh/Surr/LsOn,48,1,0,1,1,,integer,any,rw,1
,200,MIXER:Current/InCh/Surr/ROn,48,1,0,1,1,,integer,any,rw,1
,204,MIXER:Current/InCh/Surr/RsOn,48,1,0,1,1,,integer,any,rw,1
,219,MIXER:Current/InCh/ToMix/Level,48,24,-32768,1000,-32768,,integer,any,rw,1
,220,MIXER:Current/InCh/ToMix/On,48,24,0,1,1,,integer,any,rw,1
,247,MIXER:Current/InCh/ToMix/Pan,48,24,-63,63,0,,integer,any,rw,1
,248,MIXER:Current/InCh/ToMix/PrePost,48,24,0,1,0,,integer,any,rw,1
,221,MIXER:Current/InCh/ToMtrx/Level,48,8,-32768,1000,-32768,,integer,any,rw,1
,222,MIXER:Current/InCh/ToMtrx/On,48,8,0,1,1,,integer,any,rw,1
,249,MIXER:Current/InCh/ToMtrx/Pan,48,8,-63,63,0,,integer,any,rw,1
,250,MIXER:Current/InCh/ToMtrx/PrePost,48,8,0,1,0,,integer,any,rw,1
,189,MIXER:Current/InCh/ToSt/Pan,48,1,-63,63,0,,integer,any,rw,1
,258,MIXER:Current/InputChLink/InCh/Assign,48,1,0,40,0,,integer,any,r,1
,156,MIXER:Current/InputChLink/LinkParams/ChOn,40,1,0,1,1,,integer,any,r,1
,158,MIXER:Current/InputChLink/LinkParams/DCA,40,1,0,1,1,,integer,any,r,1
,170,MIXER:Current/InputChLink/LinkParams/Delay,40,1,0,1,1,,integer,any,r,1
,166,MIXER:Current/InputChLink/LinkParams/DigitalGain,40,1,0,1,1,,integer,any,r,1
,167,MIXER:Current/InputChLink/LinkParams/DirectOut,40,1,0,1,1,,integer,any,r,1
,162,MIXER:Current/InputChLink/LinkParams/Dyna1,40,1,0,1,1,,integer,any,r,1
,163,MIXER:Current/InputChLink/LinkParams/Dyna2,40,1,0,1,1,,integer,any,r,1
,153,MIXER:Current/InputChLink/LinkParams/EQ,40,1,0,1,1,,integer,any,r,1
,155,MIXER:Current/InputChLink/LinkParams/Fader,40,1,0,1,1,,integer,any,r,1
,164,MIXER:Current/InputChLink/LinkParams/HA,40,1,0,1,1,,integer,any,r,1
,165,MIXER:Current/InputChLink/LinkParams/HPF,40,1,0,1,1,,integer,any,r,1
,154,MIXER:Current/InputChLink/LinkParams/Insert,40,1,0,1,1,,integer,any,r,1
,160,MIXER:Current/InputChLink/LinkParams/MatrixSend,40,1,0,1,1,,integer,any,r,1
,161,MIXER:Current/InputChLink/LinkParams/MatrixSendOn,40,1,0,1,1,,integer,any,r,1
,168,MIXER:Current/InputChLink/LinkParams/MixSend,40,1,0,1,1,,integer,any,r,1
,169,MIXER:Current/InputChLink/LinkParams/MixSendOn,40,1,0,1,1,,integer,any,r,1
,159,MIXER:Current/InputChLink/LinkParams/Mute,40,1,0,1,1,,integer,any,r,1
,157,MIXER:Current/InputChLink/LinkParams/ToSt,40,1,0,1,1,,integer,any,r,1
,259,MIXER:Current/InputChLink/SendParams/ToMix,40,24,0,1,1,,integer,any,r,1
,171,MIXER:Current/InputChLink/SendParams/ToMtrx,40,8,0,1,1,,integer,any,r,1
,152,MIXER:Current/InputChLink/StInCh/Assign,16,1,0,40,0,,integer,any,r,1
,253,MIXER:Current/Mix/BusType,24,1,0,5,VARI,,string,any,rw,1
,214,MIXER:Current/Mix/DCA/Assign,24,16,0,1,0,,integer,any,rw,1
,212,MIXER:Current/Mix/Dyna1/Threshold,24,1,-540,0,-80,,integer,any,rw,1
,211,MIXER:Current/Mix/Dyna1/Type,24,1,0,11,Compressor,,string,any,rw,1
,185,MIXER:Current/Mix/Fader/Level,24,1,-32768,1000,0,,integer,any,rw,1
,187,MIXER:Current/Mix/Fader/On,24,1,0,1,1,,integer,any,rw,1
,218,MIXER:Current/Mix/Label/Color,24,1,0,7,Orange,,string,any,rw,1
,254,MIXER:Current/Mix/Label/Icon,24,1,0,12,Blank,,string,any,rw,1
,216,MIXER:Current/Mix/Label/Name,24,1,0,8,"MX,1",,string,any,rw,1
,193,MIXER:Current/Mix/Out/Balance,24,1,-63,63,0,,integer,any,rw,1
,255,MIXER:Current/Mix/PanLink,24,1,0,1,0,,integer,any,rw,1
,191,MIXER:Current/Mix/PanMode,24,1,0,1,0,,integer,any,r,1
,194,MIXER:Current/Mix/Role,24,1,0,7,Mono,,string,any,r,1
,227,MIXER:Current/Mix/ToMtrx/Level,24,8,-32768,1000,-32768,,integer,any,rw,1
,228,MIXER:Current/Mix/ToMtrx/On,24,8,0,1,1,,integer,any,rw,1
,256,MIXER:Current/Mix/ToMtrx/Pan,24,8,-63,63,0,,integer,any,rw,1
,257,MIXER:Current/Mix/ToMtrx/PrePost,24,8,0,1,0,,integer,any,rw,1
,192,MIXER:Current/Mix/ToSt/Pan,24,1,-63,63,0,,integer,any,rw,1
,85,MIXER:Current/Monitor/CueInterruption,1,1,0,1,1,,integer,any,rw,1
,87,MIXER:Current/Monitor/DelayAutoBypass,1,1,0,1,1,,integer,any,rw,1
,83,MIXER:Current/Monitor/DimmerOn,1,1,0,1,0,,integer,any,rw,1
,108,MIXER:Current/Monitor/DownMix/CToLOn,1,1,0,1,1,,integer,any,rw,1
,118,MIXER:Current/Monitor/DownMix/CToLRLevel,1,1,-32768,0,-300,,integer,any,rw,1
,109,MIXER:Current/Monitor/DownMix/CToROn,1,1,0,1,1,,integer,any,rw,1
,110,MIXER:Current/Monitor/DownMix/LFEToLOn,1,1,0,1,0,,integer,any,rw,1
,119,MIXER:Current/Monitor/DownMix/LFEToLRLevel,1,1,-32768,0,-32768,,integer,any,rw,1
,111,MIXER:Current/Monitor/DownMix/LFEToROn,1,1,0,1,0,,integer,any,rw,1
,112,MIXER:Current/Monitor/DownMix/LsToLOn,1,1,0,1,1,,integer,any,rw,1
,120,MIXER:Current/Monitor/DownMix/LsToLRLevel,1,1,-32768,0,-300,,integer,any,rw,1
,113,MIXER:Current/Monitor/DownMix/LsToROn,1,1,0,1,0,,integer,any,rw,1
,104,MIXER:Current/Monitor/DownMix/LToLOn,1,1,0,1,1,,integer,any,rw,1
,116,MIXER:Current/Monitor/DownMix/LToLRLevel,1,1,-32768,0,0,,integer,any,rw,1
,105,MIXER:Current/Monitor/DownMix/LToROn,1,1,0,1,0,,integer,any,rw,1
,122,MIXER:Current/Monitor/DownMix/MasterLevel,1,1,-32768,0,-300,,integer,any,rw,1
,114,MIXER:Current/Monitor/DownMix/RsToLOn,1,1,0,1,0,,integer,any,rw,1
,121,MIXER:Current/Monitor/DownMix/RsToLRLevel,1,1,-32768,0,-300,,integer,any,rw,1
,115,MIXER:Current/Monitor/DownMix/RsToROn,1,1,0,1,1,,integer,any,rw,1
,106,MIXER:Current/Monitor/DownMix/RToLOn,1,1,0,1,0,,integer,any,rw,1
,117,MIXER:Current/Monitor/DownMix/RToLRLevel,1,1,-32768,0,0,,integer,any,rw,1
,107,MIXER:Current/Monitor/DownMix/RToROn,1,1,0,1,1,,integer,any,rw,1
,103,MIXER:Current/Monitor/DownMix/Type,1,1,0,6,5.1,,string,any,rw,1
,86,MIXER:Current/Monitor/Fader/Level,1,1,-32768,1000,0,,integer,any,rw,1
,82,MIXER:Current/Monitor/On,1,1,0,1,1,,integer,any,rw,1
,84,MIXER:Current/Monitor/PhonesLevelLink,1,1,0,1,1,,integer,any,rw,1
,93,MIXER:Current/Monitor/St/MonoMonitor,1,1,0,1,0,,integer,any,rw,1
,91,MIXER:Current/Monitor/St/SourceCh/LocalInput,4,1,0,1,0,,integer,any,rw,1
,229,MIXER:Current/Monitor/St/SourceCh/Mix,24,1,0,1,0,,integer,any,rw,1
,89,MIXER:Current/Monitor/St/SourceCh/Mtrx,8,1,0,1,0,,integer,any,rw,1
,92,MIXER:Current/Monitor/St/SourceCh/Rec,1,1,0,1,0,,integer,any,rw,1
,90,MIXER:Current/Monitor/St/SourceCh/St,2,1,0,1,0,,integer,any,rw,1
,88,MIXER:Current/Monitor/St/SourceSelect,1,1,0,10,Stereo,,string,any,rw,1
,99,MIXER:Current/Monitor/Surr/COn,1,1,0,1,1,,integer,any,rw,1
,100,MIXER:Current/Monitor/Surr/LFEOn,1,1,0,1,1,,integer,any,rw,1
,97,MIXER:Current/Monitor/Surr/LOn,1,1,0,1,1,,integer,any,rw,1
,101,MIXER:Current/Monitor/Surr/LsOn,1,1,0,1,1,,integer,any,rw,1
,98,MIXER:Current/Monitor/Surr/ROn,1,1,0,1,1,,integer,any,rw,1
,102,MIXER:Current/Monitor/Surr/RsOn,1,1,0,1,1,,integer,any,rw,1
,96,MIXER:Current/Monitor/Surr/SoloMode,1,1,0,1,0,,integer,any,rw,1
,95,MIXER:Current/Monitor/Surr/SourceCh,1,1,0,9,"EXT,ST1",,string,any,rw,1
,94,MIXER:Current/Monitor/Surr/SourceSelect,1,1,0,11,Mix1-6,,string,any,rw,1
,146,MIXER:Current/Mtrx/BusType,8,1,0,5,VARI,,string,any,rw,1
,63,MIXER:Current/Mtrx/DCA/Assign,8,16,0,1,0,,integer,any,rw,1
,58,MIXER:Current/Mtrx/Dyna1/Threshold,8,1,-540,0,-80,,integer,any,rw,1
,57,MIXER:Current/Mtrx/Dyna1/Type,8,1,0,11,Compressor,,string,any,rw,1
,2,MIXER:Current/Mtrx/Fader/Level,8,1,-32768,1000,0,,integer,any,rw,1
,7,MIXER:Current/Mtrx/Fader/On,8,1,0,1,1,,integer,any,rw,1
,73,MIXER:Current/Mtrx/Label/Color,8,1,0,7,Orange,,string,any,rw,1
,147,MIXER:Current/Mtrx/Label/Icon,8,1,0,7,Blank,,string,any,rw,1
,67,MIXER:Current/Mtrx/Label/Name,8,1,0,8,"MT,1",,string,any,rw,1
,20,MIXER:Current/Mtrx/Out/Balance,8,1,-63,63,0,,integer,any,rw,1
,148,MIXER:Current/Mtrx/PanLink,8,1,0,1,0,,integer,any,rw,1
,19,MIXER:Current/Mtrx/Role,8,1,0,7,Mono,,string,any,r,1
,70,MIXER:Current/MuteMaster/Label/Name,8,1,0,8,"MUTE,1",,string,any,rw,1
,10,MIXER:Current/MuteMaster/On,8,1,0,1,0,,integer,any,rw,1
,234,MIXER:Current/OmniOutPort/Patch,8,1,0,12,MIX1,,string,any,rw,1
,176,MIXER:Current/OutputChLink/LinkParams/ChOn,16,1,0,1,1,,integer,any,r,1
,178,MIXER:Current/OutputChLink/LinkParams/DCA,16,1,0,1,1,,integer,any,r,1
,182,MIXER:Current/OutputChLink/LinkParams/Dyna1,16,1,0,1,1,,integer,any,r,1
,173,MIXER:Current/OutputChLink/LinkParams/EQ,16,1,0,1,1,,integer,any,r,1
,175,MIXER:Current/OutputChLink/LinkParams/Fader,16,1,0,1,1,,integer,any,r,1
,174,MIXER:Current/OutputChLink/LinkParams/Insert,16,1,0,1,1,,integer,any,r,1
